央视频道,#genre#
CCTV11戏曲,http://114.254.94.104:2222/rtp/239.3.1.152:8120$1920x1080
CCTV11戏曲,http://221.220.135.32:9999/rtp/239.3.1.152:8120$1920x1080
CCTV11戏曲,http://114.254.83.72:2222/rtp/239.3.1.152:8120$1920x1080
CCTV11戏曲,http://114.254.84.178:2222/rtp/239.3.1.152:8120$1920x1080
CCTV12社会与法,http://111.196.132.243:8686/rtp/239.3.1.64:8124$1920x1080
CCTV12社会与法,http://sweetown.fun:4000/rtp/239.3.1.64:8124$1920x1080
CCTV12社会与法,http://111.192.187.92:8012/rtp/239.3.1.64:8124$1920x1080
CCTV12社会与法,http://123.112.246.248:5555/rtp/239.3.1.64:8124$1920x1080
CCTV12社会与法,http://123.118.6.83:4022/rtp/239.3.1.64:8124$1920x1080
CCTV12社会与法,http://221.219.31.28:8888/rtp/239.3.1.64:8124$1920x1080
CCTV12社会与法,http://114.254.94.104:2222/rtp/239.3.1.64:8124$1920x1080
CCTV12社会与法,http://221.220.135.32:9999/rtp/239.3.1.64:8124$1920x1080
CCTV12社会与法,http://114.254.83.72:2222/rtp/239.3.1.64:8124$1920x1080
CCTV12社会与法,http://114.254.84.178:2222/rtp/239.3.1.64:8124$1920x1080
CCTV13新闻,http://111.192.187.92:8012/rtp/239.3.1.124:8128$1920x1080
CCTV13新闻,http://111.196.132.243:8686/rtp/239.3.1.124:8128$1920x1080
CCTV13新闻,http://sweetown.fun:4000/rtp/239.3.1.124:8128$1920x1080
CCTV13新闻,http://123.112.246.248:5555/rtp/239.3.1.124:8128$1920x1080
CCTV13新闻,http://123.118.6.83:4022/rtp/239.3.1.124:8128$1920x1080
CCTV13新闻,http://221.219.31.28:8888/rtp/239.3.1.124:8128$1920x1080
CCTV13新闻,http://114.254.94.104:2222/rtp/239.3.1.124:8128$1920x1080
CCTV13新闻,http://221.220.135.32:9999/rtp/239.3.1.124:8128$1920x1080
CCTV13新闻,http://114.254.83.72:2222/rtp/239.3.1.124:8128$1920x1080
CCTV13新闻,http://114.254.84.178:2222/rtp/239.3.1.124:8128$1920x1080
CCTV14少儿,http://111.192.187.92:8012/rtp/239.3.1.65:8132$1920x1080
